B2,B3,B4,B5,B6,B7,B8,c,,,
0.0492,0.0722,0.0351,0.0941,0.3742,0.488,0.4988,0,,,
0.0727,0.1106,0.0946,0.1518,0.3238,0.3833,0.4496,0,,,
0.0397,0.0582,0.0286,0.0811,0.3517,0.4633,0.4864,0,,,
0.0491,0.0795,0.0448,0.107,0.3494,0.4225,0.4472,0,,,
0.0659,0.0973,0.0904,0.1351,0.169,0.1839,0.192,0,,,
0.0511,0.1028,0.0614,0.1465,0.3903,0.4384,0.4532,0,,,
0.0641,0.097,0.0796,0.125,0.2824,0.3471,0.2918,0,,,10000
0.05,0.0708,0.0438,0.1115,0.2587,0.2931,0.2556,0,,,0
0.0435,0.0886,0.0358,0.1408,0.4857,0.576,0.6408,0,,,
0.0536,0.0755,0.0411,0.1035,0.3741,0.4726,0.4668,0,,,
0.0492,0.0722,0.0351,0.0941,0.3742,0.488,0.4988,0,,,
0.0413,0.0745,0.035,0.109,0.2949,0.3482,0.3682,0,,,
0.0727,0.1034,0.0992,0.1418,0.1835,0.1869,0.1926,0,,,
0.0498,0.0828,0.045,0.1071,0.3267,0.3839,0.3994,0,,,
0.0491,0.0725,0.0491,0.0982,0.2942,0.369,0.3124,0,,,
0.0521,0.0832,0.0475,0.1167,0.4117,0.5326,0.5108,0,,,
0.0453,0.0769,0.0386,0.0991,0.303,0.3542,0.362,0,,,
0.0472,0.0773,0.0473,0.107,0.3141,0.3675,0.345,0,,,
0.0332,0.0585,0.0246,0.0823,0.3726,0.5163,0.526,0,,,
0.0401,0.0633,0.0379,0.0861,0.3266,0.427,0.4328,0,,,
0.0561,0.0876,0.0543,0.1253,0.2812,0.3073,0.3178,0,,,
0.0408,0.0658,0.0321,0.1158,0.3713,0.4381,0.4588,0,,,
0.0351,0.0623,0.0255,0.0887,0.3491,0.444,0.4404,0,,,
0.0509,0.0801,0.0505,0.1158,0.2574,0.2955,0.3086,0,,,
0.046,0.0933,0.0449,0.1377,0.4414,0.4984,0.522,0,,,
0.0373,0.0634,0.0295,0.0935,0.3797,0.4815,0.4964,0,,,
0.0397,0.0636,0.036,0.0937,0.329,0.4232,0.4284,0,,,
0.0525,0.0711,0.0406,0.0961,0.3075,0.3638,0.3354,0,,,
0.0517,0.0833,0.0517,0.1141,0.2709,0.3086,0.311,0,,,
0.0465,0.0713,0.0403,0.1016,0.3521,0.4451,0.4532,0,,,
0.0365,0.065,0.0325,0.0922,0.3609,0.4546,0.448,0,,,
0.0355,0.059,0.0318,0.0979,0.3149,0.4004,0.4092,0,,,
0.0396,0.0686,0.0337,0.0971,0.3674,0.4688,0.4964,0,,,
0.0376,0.0637,0.0274,0.0951,0.4045,0.5379,0.5684,0,,,
0.04,0.0667,0.0357,0.0929,0.3137,0.4034,0.3792,0,,,
0.0441,0.0718,0.0498,0.1018,0.3128,0.3684,0.3582,0,,,
0.0531,0.0836,0.044,0.111,0.3688,0.4432,0.4268,0,,,
0.0415,0.0679,0.0341,0.0972,0.3889,0.511,0.5148,0,,,
0.0287,0.0525,0.023,0.0775,0.3139,0.3907,0.3904,0,,,
0.0373,0.0601,0.0265,0.0943,0.3396,0.4353,0.4608,0,,,
0.0629,0.105,0.0818,0.1499,0.2591,0.2706,0.3488,0,,,
0.0361,0.0685,0.0307,0.0958,0.3996,0.4929,0.4932,0,,,
0.0354,0.0619,0.0343,0.0905,0.3546,0.4562,0.4824,0,,,
0.0377,0.0636,0.03,0.0906,0.3697,0.4758,0.4864,0,,,
0.0456,0.0751,0.0379,0.1128,0.3992,0.5048,0.5604,0,,,
0.0378,0.0596,0.026,0.0918,0.3851,0.4954,0.5036,0,,,
